crid,incident_date,x,y,xy
1079445,2016-02-29T23:15:00Z,-87.643574,41.903251000000004,POINT(-87.643574 41.903251)
1079607,2016-02-29T20:30:00Z,-87.668627,41.691694,POINT(-87.668627 41.691694)
1079452,2016-02-29T18:30:00Z,-87.654613,41.782896,POINT(-87.654613 41.782896)
1079465,2016-02-29T15:30:00Z,-87.62378299999999,41.830636,POINT(-87.623783 41.830636)
1079433,2016-02-29T00:00:00Z,-87.78200463030001,41.7918701607,POINT(-87.7820046303 41.7918701607)
1079424,2016-02-28T12:00:00Z,-87.657463,41.756574,POINT(-87.657463 41.756574)
1079420,2016-02-27T22:51:00Z,-87.655364,41.962378,POINT(-87.655364 41.962378)
1079422,2016-02-27T16:27:00Z,-87.555444,41.732760999999996,POINT(-87.555444 41.732761)
1079407,2016-02-27T00:01:00Z,-87.791382,41.988932,POINT(-87.791382 41.988932)
1079401,2016-02-26T23:50:00Z,-87.62158199999999,41.892257,POINT(-87.621582 41.892257)
1079381,2016-02-25T04:25:00Z,-87.765237,41.973395000000004,POINT(-87.765237 41.973395)
1079371,2016-02-24T00:00:00Z,-87.6244,41.8756,POINT(-87.6244 41.8756)
1079400,2016-02-23T19:55:00Z,-87.66719,41.9379,POINT(-87.66719 41.9379)
1079361,2016-02-23T08:30:00Z,-87.764648,41.918541999999995,POINT(-87.764648 41.918542)
1079348,2016-02-22T09:30:00Z,-87.69465500000001,41.822542999999996,POINT(-87.694655 41.822543)
1079339,2016-02-21T17:30:00Z,-87.697291,41.921240000000004,POINT(-87.697291 41.92124)
1079343,2016-02-21T10:13:00Z,-87.51,41.57,POINT(-87.51 41.57)
1079419,2016-02-21T07:30:00Z,-87.693014,41.979539,POINT(-87.693014 41.979539)
1079317,2016-02-19T08:00:00Z,-87.669691,41.976201,POINT(-87.669691 41.976201)
1079305,2016-02-18T11:50:00Z,-87.710775,41.868189,POINT(-87.710775 41.868189)
1079257,2016-02-15T14:30:00Z,-87.765237,41.973395000000004,POINT(-87.765237 41.973395)
1079243,2016-02-15T01:30:00Z,-87.68059000000001,41.872046999999995,POINT(-87.68059 41.872047)
1079239,2016-02-14T16:27:00Z,-87.680318,41.86741,POINT(-87.680318 41.86741)
