Investigator_Last_Name,Investigator_First_Name,Current_Report,Current_Rank,FOIA_Request_Number,Report_Produced_Date
SIMIK,DEBORAH,630,PO AS DETECTIVE,FOIA 14-5509,
HINTON,DENNIS,121,POLICE OFFICER,FOIA 14-5509,
CHICO,ALICE,113,INVESTIGATOR 2 IPRA,FOIA 14-5509,
ANDREWS,JOHN,8,LIEUTENANT OF POLICE,FOIA 14-5509,
GALLAGHER,PATRICIA,121,POLICE OFFICER,FOIA 14-5509,
WATTS,RONALD,2,SERGEANT OF POLICE,FOIA 14-5509,
JOHNSON,PEGGY,15,SERGEANT OF POLICE,FOIA 14-5509,
KOBEL,DANIEL,113,INVESTIGATOR I IPRA,FOIA 14-5509,
PLANEY,JEFFERY,213,SERGEANT OF POLICE,FOIA 14-5509,
AXIUM,JACK,12,SERGEANT OF POLICE,FOIA 14-5509,
COCHRAN,TERRANCE,121,SERGEANT OF POLICE,FOIA 14-5509,
BOWENS,DARREN,113,INVESTIGATOR 2 IPRA,FOIA 14-5509,
GOODWIN,JEANNE,113,INVESTIGATOR 2 IPRA,FOIA 14-5509,
VILLALOBOS,DAVID,1,SERGEANT OF POLICE,FOIA 14-5509,
ANAELE,BENEDICT,113,INVESTIGATOR 3 IPRA,FOIA 14-5509,
HERMANN,JANINE,121,SERGEANT OF POLICE,FOIA 14-5509,
WILMOUTH,JOHN,113,INVESTIGATOR 3 IPRA,FOIA 14-5509,
DE FRANCO,VINCENT,19,SERGEANT OF POLICE,FOIA 14-5509,
CEPEDA,JERRY,1,SERGEANT OF POLICE,FOIA 14-5509,
ROCHOWICZ JR,RICHARD,22,SERGEANT OF POLICE,FOIA 14-5509,
HARB,NELLIE,17,SERGEANT OF POLICE,FOIA 14-5509,
PALUCH,PHILIP,22,SERGEANT OF POLICE,FOIA 14-5509,
EDWARDS,DONALD,121,POLICE OFFICER,FOIA 14-5509,
SKOL,LARRY,121,SERGEANT OF POLICE,FOIA 14-5509,
KLIMAS,ROBERT,121,COMMANDER,FOIA 14-5509,
GARCIA,FERNANDO,10,SERGEANT OF POLICE,FOIA 14-5509,
O REILLY,EDWARD,23,SERGEANT OF POLICE,FOIA 14-5509,
DICKMAN,JOSEPH,121,SERGEANT OF POLICE,FOIA 14-5509,
CALDWELL,DAVID,121,POLICE AGENT,FOIA 14-5509,
O KELLY,PATRICK,121,SERGEANT OF POLICE,FOIA 14-5509,
HAYES,SHANNON,113,INVESTIGATOR 2 IPRA,FOIA 14-5509,
SCHMIT,JOSEPH,18,LIEUTENANT OF POLICE,FOIA 14-5509,
STACK,THOMAS,606,SERGEANT OF POLICE,FOIA 14-5509,
FAKUADE,JOSEPH,113,COOR OPERATIONS IPRA,FOIA 14-5509,
SCHWIEGER,SCOTT,25,LIEUTENANT OF POLICE,FOIA 14-5509,
MC LAUGHLIN,MICHAEL,18,SERGEANT OF POLICE,FOIA 14-5509,
MATTHEWS,ROMAN,121,POLICE OFFICER,FOIA 14-5509,
BRECKENRIDGE,CHARLES,121,POLICE AGENT,FOIA 14-5509,
HENDRICKS,RAMONA,113,INVESTIGATOR 2 IPRA,FOIA 14-5509,
DONAHUE,PATRICK,20,SERGEANT OF POLICE,FOIA 14-5509,
DOWNS,RICHARD,121,SERGEANT OF POLICE,FOIA 14-5509,
SKOL,LARRY,121,SERGEANT OF POLICE,FOIA 14-5509,
PIONKE,JOSEPH,121,SERGEANT OF POLICE,FOIA 14-5509,
PLANEY,JEFFERY,213,SERGEANT OF POLICE,FOIA 14-5509,
MISHLER,ELIZABETH,3,SERGEANT OF POLICE,FOIA 14-5509,
HERNANDEZ,IGNACIO,10,SERGEANT OF POLICE,FOIA 14-5509,
COSEY,ROBERT,113,INVESTIGATOR 3 IPRA,FOIA 14-5509,
PRICE,MATTHEW,608,SERGEANT OF POLICE,FOIA 14-5509,
NATELSON,DAVID,1,LIEUTENANT OF POLICE,FOIA 14-5509,
BOYLE,PATRICK,212,SERGEANT OF POLICE,FOIA 14-5509,
ERBACHER,KYLE,4,SERGEANT OF POLICE,FOIA 14-5509,
VALADEZ,FRANCIS,10,COMMANDER,FOIA 14-5509,
PRICE,MATTHEW,608,SERGEANT OF POLICE,FOIA 14-5509,
HERMANN,JANINE,121,SERGEANT OF POLICE,FOIA 14-5509,
BOFFO,ROY,6,SERGEANT OF POLICE,FOIA 14-5509,
KALANTZIS,TOM,113,INVESTIGATOR I IPRA,FOIA 14-5509,
WASHINGTON,MONIQUE,620,SERGEANT OF POLICE,FOIA 14-5509,
KANE,JAMIE,121,SERGEANT OF POLICE,FOIA 14-5509,
WILLIAMS,KELVIN,610,SERGEANT OF POLICE,FOIA 14-5509,
MARTIN,MARIA,121,POLICE AGENT,FOIA 14-5509,
GROTH,MICHAEL,19,SERGEANT OF POLICE,FOIA 14-5509,
MAGRUDER,JOHN,19,LIEUTENANT OF POLICE,FOIA 14-5509,
NOWACKI,MICHAEL,353,SERGEANT OF POLICE,FOIA 14-5509,
SAMPSON,WAYNE,20,SERGEANT OF POLICE,FOIA 14-5509,
DEL VALLE,NOEL,121,POLICE AGENT,FOIA 14-5509,
ALEJO,LUIS,121,POLICE OFFICER,FOIA 14-5509,
BOYLE,PATRICK,212,SERGEANT OF POLICE,FOIA 14-5509,
HERNANDEZ,NEOMI,113,INVESTIGATOR 2 IPRA,FOIA 14-5509,
WILMOUTH,JOHN,113,INVESTIGATOR 3 IPRA,FOIA 14-5509,
HAYES,SHANNON,113,INVESTIGATOR 2 IPRA,FOIA 14-5509,
FRANKO,LINDA,113,INVESTIGATOR 2 IPRA,FOIA 14-5509,
PLANEY,JEFFERY,213,SERGEANT OF POLICE,FOIA 14-5509,
MESSENGER,VERONICA,113,INVESTIGATOR 3 IPRA,FOIA 14-5509,
CRADICK,JAMES,121,SERGEANT OF POLICE,FOIA 14-5509,
WHITE,MICHAEL,19,SERGEANT OF POLICE,FOIA 14-5509,
PLANEY,JEFFERY,213,SERGEANT OF POLICE,FOIA 14-5509,
BRECKENRIDGE,CHARLES,121,POLICE AGENT,FOIA 14-5509,
TIRADO,JOSE,606,SERGEANT OF POLICE,FOIA 14-5509,
STEHLIK,JOSEPH,121,SERGEANT OF POLICE,FOIA 14-5509,
BOYLE,PATRICK,212,SERGEANT OF POLICE,FOIA 14-5509,
DEJA,DAVID,14,SERGEANT OF POLICE,FOIA 14-5509,
KLIMAS,ROBERT,121,COMMANDER,FOIA 14-5509,
MARTIN,JULIE,22,SERGEANT OF POLICE,FOIA 14-5509,
THOMAS,ARTRA,113,INVESTIGATOR 2 IPRA,FOIA 14-5509,
BARZ,MICHAEL,121,SERGEANT OF POLICE,FOIA 14-5509,
KLIMAS,ROBERT,121,COMMANDER,FOIA 14-5509,
WHITESIDE,MARIA,51,SERGEANT OF POLICE,FOIA 14-5509,
DICKMAN,JOSEPH,121,SERGEANT OF POLICE,FOIA 14-5509,
BLASUCCI,MARK,606,SERGEANT OF POLICE,FOIA 14-5509,
VUCKO,JASON,8,LIEUTENANT OF POLICE,FOIA 14-5509,
KILLEN,BRIAN,113,INVESTIGATOR 3 IPRA,FOIA 14-5509,
ENGSTROM,MARGARET,1,SERGEANT OF POLICE,FOIA 14-5509,
WEIDIG,STEVEN,25,SERGEANT OF POLICE,FOIA 14-5509,
ALLEN,DERRICK,121,POLICE AGENT,FOIA 14-5509,
CAMACHO,FRANCES,12,LIEUTENANT OF POLICE,FOIA 14-5509,
REILLY,DAWN,4,SERGEANT OF POLICE,FOIA 14-5509,
SCHLOSS,ALLISON,59,LIEUTENANT OF POLICE,FOIA 14-5509,
JACKSON,ANGELA,113,INVESTIGATOR I IPRA,FOIA 14-5509,
CALDWELL,DAVID,121,POLICE AGENT,FOIA 14-5509,
HAYES,SHANNON,113,INVESTIGATOR 2 IPRA,FOIA 14-5509,
CUMMINS,MICHAEL,124,SERGEANT OF POLICE,FOIA 14-5509,
DREW JR,ALFONZO,543,SERGEANT OF POLICE,FOIA 14-5509,
BACON,RANDALL,121,PO AS DETECTIVE,FOIA 14-5509,
WILLNER,JOHN,125,LIEUTENANT OF POLICE,FOIA 14-5509,
WARE,TIMOTHY,2,SERGEANT OF POLICE,FOIA 14-5509,
ALLEN,JEFFREY,15,SERGEANT OF POLICE,FOIA 14-5509,
CUMMINS,MICHAEL,124,SERGEANT OF POLICE,FOIA 14-5509,
JOYCE,SHAWN,2,LIEUTENANT OF POLICE,FOIA 14-5509,
JANKOWSKI,PAUL,17,SERGEANT OF POLICE,FOIA 14-5509,
KILLEN,BRIAN,113,INVESTIGATOR 3 IPRA,FOIA 14-5509,
KLIMAS,ROBERT,121,COMMANDER,FOIA 14-5509,
WILLIAMS,ONETTA,113,INVESTIGATOR 3 IPRA,FOIA 14-5509,
SCHULZ,ANTHONY,6,SERGEANT OF POLICE,FOIA 14-5509,
KLIMAS,ROBERT,121,COMMANDER,FOIA 14-5509,
JONES,VINCENT,113,INVESTIGATOR 2 IPRA,FOIA 14-5509,
HAYES,SHANNON,113,INVESTIGATOR 2 IPRA,FOIA 14-5509,
MATIJEVICH,MICHAEL,19,SERGEANT OF POLICE,FOIA 14-5509,
SPELLMAN,JOHN,121,SERGEANT OF POLICE,FOIA 14-5509,
LAPITAN,WILFREDO,20,SERGEANT OF POLICE,FOIA 14-5509,
ANAELE,BENEDICT,113,INVESTIGATOR 3 IPRA,FOIA 14-5509,
BOYD,DION,610,SERGEANT OF POLICE,FOIA 14-5509,
FIEDLER,JAMES,121,SERGEANT OF POLICE,FOIA 14-5509,
KWASINSKI,PHILIP,12,CAPTAIN OF POLICE,FOIA 14-5509,
KNUDSON,DOROTHY,12,SERGEANT OF POLICE,FOIA 14-5509,
HAYES,SHANNON,113,INVESTIGATOR 2 IPRA,FOIA 14-5509,
STEHLIK,JOSEPH,121,SERGEANT OF POLICE,FOIA 14-5509,
HAYES,SHANNON,113,INVESTIGATOR 2 IPRA,FOIA 14-5509,
DRAPIEWSKI,JOHN,701,SERGEANT OF POLICE,FOIA 14-5509,
HAYES,SHANNON,113,INVESTIGATOR 2 IPRA,FOIA 14-5509,
UCHMAN,ROXANE,620,SERGEANT OF POLICE,FOIA 14-5509,
COSEY,ROBERT,113,INVESTIGATOR 3 IPRA,FOIA 14-5509,
EDWARDS,DONALD,121,POLICE OFFICER,FOIA 14-5509,
LETT,KELVIN,113,INVESTIGATOR 2 IPRA,FOIA 14-5509,
NUFIO,OSCAR,113,INVESTIGATOR I IPRA,FOIA 14-5509,
HAYES,SHANNON,113,INVESTIGATOR 2 IPRA,FOIA 14-5509,
KLIMAS,ROBERT,121,COMMANDER,FOIA 14-5509,
WOODS,DAVID,620,PO AS DETECTIVE,FOIA 14-5509,
KOBEL,DANIEL,113,INVESTIGATOR I IPRA,FOIA 14-5509,
PRICE,MATTHEW,608,SERGEANT OF POLICE,FOIA 14-5509,
THOMAS,ARTRA,113,INVESTIGATOR 2 IPRA,FOIA 14-5509,
MARIETTA-JEZIOR,ANGELA,9,SERGEANT OF POLICE,FOIA 14-5509,
HERMANN,JANINE,121,SERGEANT OF POLICE,FOIA 14-5509,
VALE,DENIS,14,SERGEANT OF POLICE,FOIA 14-5509,
GOLDSTON,MICHAEL,113,INVESTIGATOR 3 IPRA,FOIA 14-5509,
AUGUSTYN,GEORGE,7,LIEUTENANT OF POLICE,FOIA 14-5509,
ALLEN,DERRICK,121,POLICE AGENT,FOIA 14-5509,
SKOL,LARRY,121,SERGEANT OF POLICE,FOIA 14-5509,
COCHRAN,TERRANCE,121,SERGEANT OF POLICE,FOIA 14-5509,
WILSON,GRACE,113,INVESTIGATOR 3 IPRA,FOIA 14-5509,
CLARK,LLOWYN,51,SERGEANT OF POLICE,FOIA 14-5509,
GOODWIN,JEANNE,113,INVESTIGATOR 2 IPRA,FOIA 14-5509,
KEANE,THOMAS,610,SERGEANT OF POLICE,FOIA 14-5509,
MUTH,KEVIN,9,SERGEANT OF POLICE,FOIA 14-5509,
ALLEN,DERRICK,121,POLICE AGENT,FOIA 14-5509,
GALINDO,MARGARITA,113,INVESTIGATOR I IPRA,FOIA 14-5509,
CARTER,SHYKELA,113,INVESTIGATOR 3 IPRA,FOIA 14-5509,
ARTZ,CHARLES,7,SERGEANT OF POLICE,FOIA 14-5509,
RICHMOND,JOHNNA,113,INVESTIGATOR 2 IPRA,FOIA 14-5509,
JACKSON,ERIC,189,SERGEANT OF POLICE,FOIA 14-5509,
WALSH,WILLIAM,113,INVESTIGATOR 3 IPRA,FOIA 14-5509,
SANCHEZ,NOEL,4,CAPTAIN OF POLICE,FOIA 14-5509,
DEL VALLE,NOEL,121,POLICE AGENT,FOIA 14-5509,
PLANEY,JEFFERY,213,SERGEANT OF POLICE,FOIA 14-5509,
HAJDU,KAROLY,59,SERGEANT OF POLICE,FOIA 14-5509,
MESSENGER,VERONICA,113,INVESTIGATOR 3 IPRA,FOIA 14-5509,
REILLY,DAWN,4,SERGEANT OF POLICE,FOIA 14-5509,
FLEMING,BRIAN,113,INVESTIGATOR I IPRA,FOIA 14-5509,
MITROS,GREGORY,22,LIEUTENANT OF POLICE,FOIA 14-5509,
COCHRAN,TERRANCE,121,SERGEANT OF POLICE,FOIA 14-5509,
FLORES,GABRIEL,121,SERGEANT OF POLICE,FOIA 14-5509,
TANTILLA,MICHAEL,25,SERGEANT OF POLICE,FOIA 14-5509,
KALANTZIS,TOM,113,INVESTIGATOR I IPRA,FOIA 14-5509,
ZAYAS JR,ANDRES,123,SERGEANT OF POLICE,FOIA 14-5509,
WALSH,THOMAS,19,SERGEANT OF POLICE,FOIA 14-5509,
ZIEGENHORN,MAUREEN,16,LIEUTENANT OF POLICE,FOIA 14-5509,
LETT,KELVIN,113,INVESTIGATOR 2 IPRA,FOIA 14-5509,
SORIA,SANDRA,125,SERGEANT OF POLICE,FOIA 14-5509,
KONOW,KAREN,196,LIEUTENANT OF POLICE,FOIA 14-5509,
PIONKE,JOSEPH,121,SERGEANT OF POLICE,FOIA 14-5509,
RICHMOND,JOHNNA,113,INVESTIGATOR 2 IPRA,FOIA 14-5509,
MC GUIRE,TERRENCE,3,LIEUTENANT OF POLICE,FOIA 14-5509,
URBIKAS,ELDON,145,SERGEANT OF POLICE,FOIA 14-5509,
WALKER,TOMMY,5,SERGEANT OF POLICE,FOIA 14-5509,
