CRID,Witness_Gender,Witness_Age,Witness_Race,FOIA_Request_Number,Report_Produced_Date
1044263,F,56.85479452054795,WHITE,FOIA 14-5509,2015-08-03
1044264,M,58.05479452054795,HISPANIC,FOIA 14-5509,2015-08-03
1044265,M,31.364383561643837,BLACK,FOIA 14-5509,2015-08-03
1044266,M,54.61643835616438,WHITE,FOIA 14-5509,2015-08-03
1044269,M,24.682191780821917,BLACK,FOIA 14-5509,2015-08-03
1044270,M,42.273972602739725,WHITE,FOIA 14-5509,2015-08-03
1044271,F,59.509589041095886,BLACK,FOIA 14-5509,2015-08-03
1044272,M,23.07123287671233,BLACK,FOIA 14-5509,2015-08-03
1044273,M,70.47123287671234,BLACK,FOIA 14-5509,2015-08-03
1044274,M,50.19178082191781,WHITE,FOIA 14-5509,2015-08-03
1044277,F,62.610958904109594,BLACK,FOIA 14-5509,2015-08-03
1044281,M,48.156164383561645,WHITE,FOIA 14-5509,2015-08-03
1044283,M,40.22191780821918,WHITE,FOIA 14-5509,2015-08-03
1044284,F,33.15890410958904,BLACK,FOIA 14-5509,2015-08-03
1044286,M,30.613698630136987,WHITE,FOIA 14-5509,2015-08-03
1044287,M,58.0986301369863,BLACK,FOIA 14-5509,2015-08-03
1044288,M,73.02191780821919,WHITE,FOIA 14-5509,2015-08-03
1044290,F,30.046575342465754,BLACK,FOIA 14-5509,2015-08-03
1044291,F,52.172602739726024,BLACK,FOIA 14-5509,2015-08-03
1044292,M,60.66575342465753,BLACK,FOIA 14-5509,2015-08-03
1044293,F,35.78356164383562,BLACK,FOIA 14-5509,2015-08-03
1044295,M,46.57808219178082,BLACK,FOIA 14-5509,2015-08-03
1044297,F,29.515068493150686,WHITE HISPANIC,FOIA 14-5509,2015-08-03
1044299,M,51.21643835616438,BLACK,FOIA 14-5509,2015-08-03
1044300,M,61.608219178082194,WHITE HISPANIC,FOIA 14-5509,2015-08-03
1044301,M,29.312328767123287,BLACK,FOIA 14-5509,2015-08-03
1044302,M,52.11506849315069,WHITE,FOIA 14-5509,2015-08-03
1044304,M,38.868493150684934,WHITE,FOIA 14-5509,2015-08-03
1044305,F,48.232876712328775,BLACK,FOIA 14-5509,2015-08-03
1044307,M,53.6958904109589,WHITE,FOIA 14-5509,2015-08-03
1044308,F,43.0958904109589,BLACK,FOIA 14-5509,2015-08-03
1044309,M,54.34246575342466,BLACK,FOIA 14-5509,2015-08-03
1044310,M,30.33150684931507,WHITE HISPANIC,FOIA 14-5509,2015-08-03
1044312,M,63.97808219178082,BLACK,FOIA 14-5509,2015-08-03
1044313,M,23.06027397260274,BLACK,FOIA 14-5509,2015-08-03
1044314,M,28.69041095890411,WHITE,FOIA 14-5509,2015-08-03
1044315,F,26.652054794520552,BLACK,FOIA 14-5509,2015-08-03
1044316,M,24.682191780821917,BLACK,FOIA 14-5509,2015-08-03
1044318,M,57.95068493150685,WHITE,FOIA 14-5509,2015-08-03
1044319,F,,BLACK,FOIA 14-5509,2015-08-03
