Officer_Last_Name,Officer_First_Name,Star,Officer_Description,FOIA_Request_Number,Report_Produced_Date
VASSELLI,NICHOLAS,4902,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
BLACKMAN,DANIEL,7954,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
BYRNE,JOSEPH,5304,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
ORTIZ,WILFREDO,9748,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
DELVALLE,RUBEN,11075,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
EWING,DEAN,8653,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
SERRATO JR,REYNALDO,19384,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
AGUIRRE,PABLO,14254,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
MCCALLUM,RICHARD,6850,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
VARGAS,ARTEMIO,7624,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
HOPKINS,TERRY,6872,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
DUCKINS,JESSICA,10325,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
MOSER,EDWARD,16090,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
GORMAN,THOMAS,3156,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
PEREZ,ARMANDO,8462,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
NYKIEL,CRAIG,18578,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
ROSEN,ANTHONY,11430,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
MATLOCK,ZEYAD,3891,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
MYLES,NATHANIEL,7937,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
TORRES,MARCO,3561,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
CALLAHAN,MICHAEL,15700,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
BELMONTES,JUAN,3210,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
VAZQUEZ,DANIEL,11852,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
MONTESDEOCA,JESUS,7699,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
MALONE,NICHOLAS,11482,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
PONIATOWSKI,DANIEL,10337,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
BROGSDALE,MALCOLM,5508,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
GALASSI,ROBERT,4548,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
ROBERTSON,THOMAS,9451,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
SOJKA,GREGORY,19600,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
BURG,KYLE,7762,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
WAGNER,MICHAEL,14637,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
BINGAMAN,KYLE,17839,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
DOMER,EMILE,17294,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
MCDONNELL,MARTIN,3306,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
NYKIEL,CRAIG,18578,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
STREEPER,JASON,13704,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
PONTO,JAMES,3085,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
VAZQUEZ,MARIA,16841,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
SCADUTO,BRADLEY,14620,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
BLACKBURN,DARRION,4632,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
DELGADO,JESUS,10720,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
STRAZZANTE,PHILIP,8496,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
NICHOLS,JAMES,17088,PO/FIELD TRNING OFF,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
JOHNSON,MARK,8781,PO/FIELD TRNING OFF,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
GLADNEY,ALISA,20686,PO AS DETECTIVE,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
MULLANE,KEVIN,20124,PO AS DETECTIVE,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
CYGNAR,BRIAN,20280,PO AS DETECTIVE,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
CRUZ,GAIL,21060,PO AS DETECTIVE,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
SHIELDS,TERRENCE,20081,PO AS DETECTIVE,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
STRZALKA,NOREEN,21282,PO AS DETECTIVE,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
SMITH,KEITH,21061,PO AS DETECTIVE,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
MAGALLON,RAFAEL,21385,PO AS DETECTIVE,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
VAHL,ROBERT,21517,PO AS DETECTIVE,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
MURTAUGH,JOSEPH,21395,PO AS DETECTIVE,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
ROSS,CHRISTOPH,20518,PO AS DETECTIVE,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
JOHNSON,WILLIAM,20169,PO AS DETECTIVE,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
NEALS,GERALD,20771,PO AS DETECTIVE,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
VOGLER,JASON,21305,PO AS DETECTIVE,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
GALASSI,ROBERT,4548,PO/MOUNTED PAT OFF.,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
BROWN,CORNELIUS,2235,SERGEANT OF POLICE,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
NIGRO,RICK,2377,SERGEANT OF POLICE,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
INZERRA,MAURIZIO,835,SERGEANT OF POLICE,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
ORLANDO,PHILLIP,2208,SERGEANT OF POLICE,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
WHITE,ANTON,1040,SERGEANT OF POLICE,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
ANDAVERDE,FEDERICO,2530,SERGEANT OF POLICE,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
MURPHY,GERARD,924,SERGEANT OF POLICE,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
KINNEY,DAVID,1861,SERGEANT OF POLICE,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
TRUHLAR,JEFF,2128,SERGEANT OF POLICE,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
SWAIN,MATTHEW,1335,SERGEANT OF POLICE,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
BALLAUER,JAMES,1874,SERGEANT OF POLICE,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
BLANDEN,JAMES,18400,SERGEANT OF POLICE,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
GONZALEZ,LUIS,1477,SERGEANT OF POLICE,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
KANE,BRIAN,1815,SERGEANT OF POLICE,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
MURPHY,JOHN,2040,SERGEANT OF POLICE,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
SPRADLEY,ERNEST,1110,SERGEANT OF POLICE,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
KEETER,JOSEPH,2647,SERGEANT OF POLICE,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
SHAVERS JR,ISAAC,1955,SERGEANT OF POLICE,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
GRIFFIN,LAURA,1061,SERGEANT OF POLICE,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
JACKSON,ERIC,1486,SERGEANT OF POLICE,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
RIGAN,KRISTOPHE,1279,SERGEANT OF POLICE,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
BELTRAN,EDUARDO,1026,SERGEANT OF POLICE,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
OKEEFE,DENIS,1986,SERGEANT OF POLICE,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
GUBALA,MICHELLE,1771,SERGEANT OF POLICE,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
STEVENS,MICHAEL,361,LIEUTENANT OF POLICE,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
MOSER,EDWARD,16090,PO ASGN EVID. TECHNI,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
SKARUPINSKI,CHRIS,8254,PO ASGN EVID. TECHNI,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
GODSEL,DANIEL,470,COMMANDER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
DEVEREUX,GEORGE,30,COMMANDER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
PEDRAZA JR,JOSE,11765,UNKNOWN,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
LACKO,ELIAS,11575,UNKNOWN,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
MOSER,EDWARD,16090,UNKNOWN,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
SANDOVAL,PAUL,3927,UNKNOWN,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
BOYD,STEPHEN,12598,UNKNOWN,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
SANDOVAL,PAUL,3927,UNKNOWN,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
GORMAN,THOMAS,3156,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
MOHAMMAD,HAYTHAM,19999,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
LEE,GEROLD,15949,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
HUGHES,GARY,10709,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
