Officer_Last_Name,Officer_First_Name,Star,Officer_Description,FOIA_Request_Number,Report_Produced_Date
GADE JR,LAWRENCE,1841,SERGEANT OF POLICE,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 18A - Involved Members",
WALKER,ROBERT,2371,SERGEANT OF POLICE,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 18A - Involved Members",
LARA,ILDEFONSO,1607,SERGEANT OF POLICE,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 18A - Involved Members",
MC DONALD,KEVIN,2262,SERGEANT OF POLICE,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 18A - Involved Members",
ROBERTS,JOHN,2196,SERGEANT OF POLICE,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 18A - Involved Members",
DALY,CHARLES,1139,SERGEANT OF POLICE,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 18A - Involved Members",
BOCARDO,MICHAEL,857,SERGEANT OF POLICE,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 18A - Involved Members",
SANCHEZ,JAMES,208,LIEUTENANT OF POLICE,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 18A - Involved Members",
JEROME,DON,307,LIEUTENANT OF POLICE,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 18A - Involved Members",
MANGUERRA,GLENN,14098,PO ASGN EVID. TECHNI,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 18A - Involved Members",
SKARUPINSKI,CHRIS,8254,PO ASGN EVID. TECHNI,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 18A - Involved Members",
VALADEZ,FRANCIS,484,COMMANDER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 18A - Involved Members",
PHILLIPS III,CECIL,6657,UNKNOWN,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 18A - Involved Members",
ALONSO,JAVIER,18523,UNKNOWN,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 18A - Involved Members",
TORRES,MIGUEL,2995,UNKNOWN,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 18A - Involved Members",
PETRENKO,THOMAS,13458,UNKNOWN,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 18A - Involved Members",
SABELLA,ANTHONY,11974,UNKNOWN,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 18A - Involved Members",
DIAZ,JOSHUA,17922,UNKNOWN,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 18A - Involved Members",
GORMAN,THOMAS,3156,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 18A - Involved Members",
GARZA,MANUEL,14179,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 18B - Involved Members",
BURNS,ADAM,13450,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 18B - Involved Members",
BADY,CRAIG,14873,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 18B - Involved Members",
HAMPTON,SHARLYN,11255,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 18B - Involved Members",
JOHNSON,DARRELL,1571,SERGEANT OF POLICE,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 18B - Involved Members",
WILLINGHAM,RUSSELL,1377,SERGEANT OF POLICE,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 18B - Involved Members",
JOHNSON,DARRELL,1571,UNKNOWN,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 18B - Involved Members",
