,Complaint_Number,Complainant_Gender,Complainant_Age,Complainant_Race_Desc
1316,1054306,M,37.1287671232877,BLACK
1319,1054308,M,34.1232876712329,BLACK
1322,1054309,M,40.427397260274,BLACK
1325,1054310,M,22.2082191780822,WHITE
1328,1054311,M,-969.098630136986,BLACK
1331,1054312,F,32.5041095890411,BLACK
1334,1054314,F,30.1150684931507,WHITE HISPANIC
1337,1054315,M,54.5479452054795,BLACK
1340,1054316,F,44.1095890410959,UNKNOWN
1343,1054317,F,33.7945205479452,BLACK
1346,1054318,M,53.0684931506849,WHITE
1349,1054321,F,40.3917808219178,BLACK
1352,1054325,F,70.6904109589041,BLACK
1355,1054326,M,51.0356164383562,HISPANIC
1358,1054329,M,24.8027397260274,BLACK
1361,1054330,M,45.958904109589,WHITE
1364,1054332,M,,BLACK
1367,1054333,F,33.8328767123288,BLACK
1370,1054336,F,61.5095890410959,BLACK
1373,1054340,F,27.8876712328767,WHITE HISPANIC
1376,1054344,F,51.9835616438356,BLACK
1379,1054346,F,43.4356164383562,HISPANIC
1382,1054347,F,55.2438356164384,BLACK
1385,1054349,M,55.2027397260274,BLACK
1388,1054351,F,51.4301369863014,BLACK
1391,1054352,F,53.8328767123288,BLACK
1394,1054353,M,35.4191780821918,BLACK
1397,1054355,M,68.2767123287671,ASIAN/PACIFIC ISLANDER
1400,1054356,F,31.7479452054794,BLACK
1403,1054363,M,,BLACK
1406,1054366,M,,WHITE
1409,1054369,M,46.5397260273973,BLACK
1412,1054371,F,50.1917808219178,BLACK
1415,1054372,F,34.1397260273973,BLACK
1418,1054373,F,55.854794520548,WHITE HISPANIC
1421,1054375,M,46.7232876712329,BLACK
1424,1054378,M,44.8082191780822,BLACK
1427,1054380,M,49.0109589041096,BLACK
1430,1054383,F,49.9315068493151,BLACK
1433,1054384,F,32.3041095890411,BLACK
1436,1054391,F,28.4465753424658,WHITE
1439,1054392,M,54.158904109589,UNKNOWN
1442,1054393,M,38.5753424657534,BLACK
1445,1054394,F,42.2,WHITE HISPANIC
1448,1054396,M,26.9150684931507,UNKNOWN
1451,1054400,F,28.4767123287671,WHITE HISPANIC
1454,1054401,M,24.5260273972603,BLACK
1457,1054404,F,36.9260273972603,BLACK
1460,1054410,M,,UNKNOWN
1463,1054411,F,25.2191780821918,BLACK
1466,1054412,M,51.8191780821918,WHITE
1469,1054413,F,51.4876712328767,WHITE
1472,1054417,M,26.6438356164384,BLACK
1475,1054419,F,30.0931506849315,WHITE
1478,1054425,M,33.1561643835616,WHITE HISPANIC
1481,1054429,F,54.1150684931507,WHITE
1484,1054430,F,42.4082191780822,BLACK
1487,1054432,F,72.0630136986302,BLACK
1490,1054438,M,36.3835616438356,BLACK
1493,1054439,M,40.3013698630137,BLACK
1496,1054440,M,43.1452054794521,WHITE HISPANIC
1499,1054441,F,,WHITE
1502,1054443,F,43.8520547945206,WHITE
1505,1054445,M,51.1808219178082,BLACK
1508,1054446,F,66.6739726027397,BLACK
1511,1054450,F,53.2520547945205,BLACK
1514,1054452,F,26.9287671232877,BLACK
1517,1054454,F,64.5945205479452,BLACK
1520,1054455,M,33.1095890410959,WHITE
1523,1054456,F,55.2575342465753,BLACK
1526,1054458,M,61.3917808219178,BLACK
1529,1054460,M,29.1013698630137,WHITE HISPANIC
1532,1054461,M,37.8328767123288,BLACK
1535,1054463,F,48.6356164383562,BLACK
1538,1054465,M,47.1205479452055,WHITE
1541,1054466,M,31.427397260274,BLACK
1544,1054467,M,37.9369863013699,BLACK
1547,1054469,F,47.4027397260274,BLACK
1548,1054469,M,49.6739726027397,BLACK
1551,1054470,F,45.827397260274,WHITE HISPANIC
1554,1054472,F,64.3452054794521,BLACK
1557,1054474,F,,BLACK
1560,1054476,M,48.0301369863014,BLACK
1563,1054479,F,33.613698630137,BLACK
1566,1054480,F,55.5315068493151,WHITE HISPANIC
1569,1054481,M,63.6246575342466,BLACK
1572,1054482,M,46.2876712328767,BLACK
1575,1054489,M,,BLACK
1578,1054491,M,65.4027397260274,BLACK
1581,1054493,M,36.1315068493151,BLACK
1584,1054495,M,84.9945205479452,WHITE HISPANIC
1587,1054496,M,22.2739726027397,UNKNOWN
1590,1054498,F,59.5479452054795,BLACK
1593,1054499,M,33.0082191780822,BLACK
1596,1054503,M,45.3945205479452,BLACK
1599,1054506,M,,UNKNOWN
1602,1054507,F,53.9753424657534,WHITE HISPANIC
1605,1054508,F,,WHITE
1608,1054513,M,,BLACK HISPANIC
1611,1054516,F,75.7698630136986,BLACK
1614,1054518,F,26.6767123287671,BLACK
1617,1054519,F,29.9013698630137,BLACK
1620,1054525,F,43.0931506849315,BLACK
1623,1054527,F,22.2,BLACK
1626,1054528,M,60.8684931506849,BLACK
1629,1054533,F,31.5150684931507,BLACK
1632,1054537,F,34.5260273972603,BLACK
1635,1054539,F,35.9315068493151,BLACK
1638,1054541,M,33.786301369863,BLACK
1641,1054542,F,33.4383561643836,BLACK
1644,1054544,M,33.8849315068493,BLACK
1647,1054545,F,,BLACK
1650,1054549,F,28.0986301369863,WHITE
1653,1054550,F,54.9835616438356,BLACK
1656,1054551,F,30.6054794520548,BLACK
1659,1054552,F,37.5753424657534,WHITE HISPANIC
1662,1054554,F,28.2301369863014,BLACK
1665,1054556,F,27.7479452054795,BLACK
1668,1054557,F,39.7123287671233,BLACK
1671,1054563,F,46.4328767123288,BLACK
1674,1054564,M,42.8493150684932,BLACK
1677,1054565,F,53.5616438356164,WHITE HISPANIC
1680,1054569,M,,WHITE
1683,1054570,F,49.0602739726027,WHITE HISPANIC
1686,1054574,M,,UNKNOWN
1689,1054575,M,29.827397260274,WHITE HISPANIC
1692,1054577,M,24.7068493150685,WHITE HISPANIC
1695,1054578,M,45.854794520548,WHITE HISPANIC
1698,1054580,M,44.9917808219178,BLACK
1701,1054582,M,32.8684931506849,BLACK
1704,1054583,M,29.5479452054794,BLACK
1707,1054585,M,53.041095890411,WHITE
1710,1054586,F,52.4904109589041,WHITE HISPANIC
1713,1054587,F,49.8027397260274,BLACK
1716,1054593,M,,UNKNOWN
1719,1054598,M,32.0739726027397,BLACK
1722,1054600,M,,BLACK
1725,1054601,M,50.5205479452055,BLACK
1728,1054603,F,25.0657534246575,BLACK
1731,1054605,F,22.3287671232877,BLACK
1734,1054606,M,66.3232876712329,BLACK
1737,1054607,F,73.6465753424658,BLACK
1740,1054614,M,32.758904109589,BLACK
1743,1054615,M,46.4904109589041,BLACK
1746,1054619,F,51.4657534246575,BLACK
1749,1054620,M,34.9287671232877,WHITE HISPANIC
1752,1054621,F,48.1753424657534,WHITE HISPANIC
1755,1054622,F,33.1013698630137,BLACK
1758,1054623,M,24.0520547945205,BLACK
1761,1054624,F,45.7534246575342,WHITE
1764,1054627,M,27.1808219178082,WHITE
1767,1054630,M,,BLACK
1770,1054633,F,52.8684931506849,WHITE HISPANIC
1773,1054634,M,41.2164383561644,BLACK
1776,1054638,F,,BLACK
1779,1054639,F,34.7260273972603,BLACK
1782,1054640,M,49.4493150684932,BLACK
1785,1054642,F,37.4,WHITE HISPANIC
1788,1054643,M,58.6,BLACK
1791,1054644,F,,BLACK
1794,1054645,F,,BLACK
1797,1054651,M,52.7671232876712,WHITE
1800,1054655,F,47.5698630136986,WHITE
1803,1054656,M,32.9972602739726,BLACK
1806,1054658,F,39.558904109589,BLACK
1809,1054660,F,167.679452054795,WHITE
1812,1054663,M,46.0849315068493,WHITE HISPANIC
1815,1054665,F,63.7041095890411,BLACK
1818,1054667,M,33.5643835616438,WHITE HISPANIC
1821,1054669,M,32.2931506849315,BLACK
1824,1054673,F,26.1315068493151,BLACK
1827,1054674,F,,WHITE HISPANIC
1830,1054676,F,,BLACK
1833,1054680,M,,BLACK
1836,1054682,M,,WHITE
1839,1054683,F,46.8767123287671,ASIAN/PACIFIC ISLANDER
1842,1054686,F,30.1123287671233,BLACK
1845,1054687,F,49.4794520547945,HISPANIC
1848,1054689,M,29.7945205479452,BLACK
1851,1054690,M,56.5095890410959,BLACK
1854,1054691,M,33.9753424657534,WHITE
1857,1054694,F,32.2191780821918,BLACK
1860,1054695,M,42.6876712328767,BLACK
1863,1054696,F,39.1506849315068,UNKNOWN
1866,1054697,F,36.1397260273973,BLACK
1869,1054698,F,61.4684931506849,ASIAN/PACIFIC ISLANDER
1872,1054701,F,47.5698630136986,WHITE
1875,1054702,F,43.3890410958904,BLACK
1878,1054705,F,49.1041095890411,BLACK
1881,1054706,M,24.0602739726027,BLACK
1884,1054709,M,,BLACK
1887,1054710,M,,BLACK
1890,1054715,F,54.6027397260274,WHITE
1893,1054721,F,37.9315068493151,WHITE HISPANIC
1896,1054724,F,52.9123287671233,BLACK
