crid,gender,age,race
1000477,F,59,BLACK
1000479,M,36,BLACK
1000480,F,47,BLACK
1000482,F,28,BLACK
1000483,F,58,BLACK
1000484,M,44,BLACK
1000485,F,32,WHITE HISPANIC
1000486,F,67,BLACK
1000487,F,48,BLACK
1000489,F,55,WHITE HISPANIC
1000490,F,49,WHITE
1000491,M,46,WHITE HISPANIC
1000493,M,28,BLACK
1000495,F,32,BLACK
1000496,M,46,BLACK
1000498,F,35,BLACK
1000499,M,41,BLACK
1000500,M,37,UNKNOWN
1000501,M,54,BLACK
1000502,M,46,BLACK
1000503,F,46,WHITE HISPANIC
1000504,M,51,BLACK
1000506,M,33,BLACK
1000507,M,63,BLACK
1000508,F,71,BLACK
1000509,M,46,BLACK
1000510,M,30,BLACK
1000511,M,36,WHITE
1000512,M,37,WHITE HISPANIC
1000513,M,59,BLACK
1000514,M,41,WHITE HISPANIC
1000515,M,33,BLACK
1000516,F,54,WHITE
1000518,F,66,BLACK
1000520,F,60,BLACK
1000521,F,41,BLACK
1000522,M,28,BLACK
1000523,F,47,WHITE
1000524,F,49,WHITE HISPANIC
1000525,F,72,BLACK
1000526,M,58,BLACK
1000527,F,45,BLACK
1000528,M,56,WHITE
1000530,M,58,BLACK
1000531,F,36,WHITE
1000532,F,60,WHITE
1000533,M,NA,UNKNOWN
1000533,F,32,BLACK
1000534,M,NA,BLACK
1000536,F,54,BLACK
1000537,F,50,BLACK
1000538,F,37,BLACK
1000539,M,31,UNKNOWN
1000540,F,48,BLACK
1000542,F,NA,BLACK
1000545,F,67,BLACK
1000546,M,42,BLACK
1000547,M,66,WHITE
1000548,F,57,BLACK
1000549,M,83,WHITE
1000550,F,55,WHITE
1000551,F,42,BLACK
1000552,F,47,BLACK
1000553,F,52,WHITE
1000554,F,58,BLACK
1000555,F,37,BLACK
1000556,M,50,UNKNOWN
1000557,M,NA,UNKNOWN
1000558,M,31,BLACK
1000559,M,32,WHITE HISPANIC
1000560,F,53,WHITE
1000563,M,28,WHITE
1000564,M,NA,BLACK
1000565,M,59,BLACK
1000568,M,57,BLACK
1000569,M,62,WHITE
1000571,F,53,BLACK
1000573,M,44,BLACK
1000574,M,NA,BLACK
1000575,F,34,BLACK
1000576,M,NA,WHITE HISPANIC
1000577,F,49,BLACK
1000578,M,52,WHITE
1000579,M,53,WHITE
1000579,M,67,WHITE
1000580,M,83,WHITE HISPANIC
1000581,F,36,BLACK
1000582,F,NA,WHITE
1000583,M,59,WHITE
1000584,M,39,BLACK
1000586,F,37,BLACK
1000590,M,43,WHITE
1000591,M,32,BLACK
1000593,F,49,BLACK
1000594,M,47,BLACK
1000596,M,34,BLACK
1000598,F,NA,BLACK
1000599,M,55,BLACK
1000600,M,46,WHITE
1000601,M,49,BLACK
1000602,M,39,WHITE HISPANIC
1000603,F,43,BLACK
1000605,F,32,BLACK
1000607,F,53,BLACK
1000609,F,40,BLACK
1000610,F,43,BLACK
1000611,M,44,WHITE HISPANIC
1000612,M,NA,BLACK
1000613,M,65,WHITE
1000614,F,45,BLACK
1000616,M,59,WHITE
1000617,F,42,BLACK
1000619,M,64,WHITE
1000620,F,46,BLACK
1000623,F,94,BLACK
1000624,F,63,WHITE
1000625,M,49,WHITE HISPANIC
1000625,M,55,WHITE HISPANIC
1000626,M,31,BLACK
1000627,M,57,WHITE
1000628,F,48,WHITE
1000629,F,62,BLACK
1000630,M,58,BLACK
1000630,F,52,BLACK
1000631,F,51,BLACK
1000632,F,NA,BLACK
1000633,M,52,BLACK
1000634,M,32,BLACK
1000635,F,41,BLACK
1000636,M,35,BLACK
1000637,F,34,BLACK
1000638,F,28,BLACK
1000639,M,NA,BLACK
1000640,M,44,BLACK
1000641,F,53,AMER IND/ALASKAN NATIVE
1000642,F,52,WHITE
1000643,M,30,BLACK
1000646,F,42,BLACK
1000648,F,42,WHITE
1000650,F,34,BLACK
1000651,M,37,BLACK
1000651,M,34,BLACK
1000652,M,NA,BLACK
1000653,F,55,BLACK
1000654,M,34,BLACK
1000655,F,49,BLACK
1000656,M,65,WHITE
1000657,F,42,WHITE
1000659,F,80,BLACK
1000661,M,37,WHITE HISPANIC
1000662,M,NA,WHITE
1000663,M,54,BLACK
1000664,F,64,BLACK
1000666,F,31,WHITE HISPANIC
1000667,M,29,WHITE HISPANIC
1000668,M,40,WHITE
1000669,M,NA,BLACK
1000671,F,42,BLACK
1000673,F,43,BLACK
1000674,F,NA,UNKNOWN
1000675,F,46,BLACK
1000677,F,35,WHITE
1000681,F,NA,UNKNOWN
1000682,M,70,WHITE
1000683,M,33,BLACK
1000684,M,46,BLACK
1000685,F,NA,BLACK
1000687,F,60,BLACK
1000688,F,31,WHITE
1000689,M,27,BLACK
1000691,M,51,ASIAN/PACIFIC ISLANDER
1000692,M,NA,WHITE HISPANIC
1000694,F,36,WHITE HISPANIC
1000696,M,41,BLACK
1000697,F,31,BLACK
1000698,F,38,BLACK
1000699,M,53,HISPANIC
1000700,M,42,WHITE
1000702,M,66,WHITE
1000703,F,35,BLACK
1000704,F,67,BLACK
1000705,M,72,HISPANIC
1000705,M,32,WHITE HISPANIC
1000706,M,NA,UNKNOWN
1000707,M,NA,UNKNOWN
1000708,F,NA,UNKNOWN
1000709,F,NA,BLACK
1000710,F,62,BLACK
1000711,F,40,BLACK
1000712,M,50,BLACK
1000715,M,32,BLACK
1000716,M,31,BLACK
1000717,M,52,BLACK
1000718,F,50,BLACK
1000719,M,NA,BLACK
1000722,F,NA,BLACK
1000723,M,43,BLACK
1000724,M,NA,UNKNOWN
1000725,M,58,WHITE
1000727,M,44,WHITE HISPANIC
1000728,F,NA,BLACK
1000729,F,NA,UNKNOWN
1000730,F,41,BLACK
1000731,F,NA,WHITE
1000732,M,52,WHITE
1000733,F,55,BLACK
1000736,F,64,BLACK
1000738,F,37,BLACK
1000739,F,50,WHITE
1000740,F,66,WHITE
1000741,F,50,BLACK
1000742,M,60,BLACK
1000743,M,57,BLACK
1000744,M,45,BLACK
1000745,F,60,BLACK
1000745,M,61,BLACK
1000746,M,36,BLACK
1000747,F,42,BLACK
1000751,F,51,BLACK
1000752,M,38,BLACK
1000753,F,45,BLACK
1000754,M,60,WHITE
1000756,F,NA,BLACK
1000757,M,64,BLACK
1000758,F,46,BLACK
1000759,F,61,WHITE
1000765,M,64,HISPANIC
1000766,F,41,BLACK
1000767,M,73,WHITE
1000770,F,59,BLACK
1000770,F,41,BLACK
1000771,M,52,BLACK
1000773,F,49,BLACK
1000774,F,37,BLACK
1000775,M,34,BLACK
1000776,F,37,BLACK
1000777,M,39,BLACK HISPANIC
1000778,M,54,BLACK
1000779,F,32,WHITE
1000780,F,39,BLACK
1000781,M,42,BLACK
1000782,M,52,BLACK
1000783,F,47,BLACK
1000785,M,54,BLACK
1000786,F,46,WHITE HISPANIC
1000787,F,28,BLACK
1000788,F,55,WHITE
1000790,F,46,BLACK
1000791,M,52,WHITE
1000792,M,NA,WHITE
1000793,F,52,BLACK
1000794,M,59,BLACK
1000795,M,NA,UNKNOWN
1000796,F,29,BLACK
1000797,F,44,BLACK
1000798,F,37,WHITE HISPANIC
1000800,F,46,BLACK
