Original_Dataset,Output_Dataset,Column_Name,Non_Null_Count,Unique_Count,Object_Type
../input/FOIA Updated CPD Data-2002-2007.xls-2003,salary.csv,Org.Hire.Date,14343,1113,datetime64[ns]
../input/FOIA Updated CPD Data-2002-2007.xls-2003,salary.csv,Salary,14360,51,int64
../input/FOIA Updated CPD Data-2002-2007.xls-2003,salary.csv,Pay.Grade,14360,20,object
../input/FOIA Updated CPD Data-2002-2007.xls-2003,salary.csv,Employee.Status,14360,4,object
../input/FOIA Updated CPD Data-2002-2007.xls-2004,salary.csv,Last.Name,14148,7389,object
../input/FOIA Updated CPD Data-2002-2007.xls-2004,salary.csv,First.Name,14148,2309,object
../input/FOIA Updated CPD Data-2002-2007.xls-2004,salary.csv,Middle.Initial,11456,27,object
../input/FOIA Updated CPD Data-2002-2007.xls-2004,salary.csv,Gender,14148,2,object
../input/FOIA Updated CPD Data-2002-2007.xls-2004,salary.csv,Age.at.Hire,13833,49,float64
../input/FOIA Updated CPD Data-2002-2007.xls-2004,salary.csv,Title,14148,39,object
../input/FOIA Updated CPD Data-2002-2007.xls-2004,salary.csv,Start.Date,13833,495,datetime64[ns]
../input/FOIA Updated CPD Data-2002-2007.xls-2004,salary.csv,SPP.Date,10843,437,datetime64[ns]
../input/FOIA Updated CPD Data-2002-2007.xls-2004,salary.csv,Org.Hire.Date,14137,1044,datetime64[ns]
../input/FOIA Updated CPD Data-2002-2007.xls-2004,salary.csv,Salary,14148,50,int64
../input/FOIA Updated CPD Data-2002-2007.xls-2004,salary.csv,Pay.Grade,14148,20,object
../input/FOIA Updated CPD Data-2002-2007.xls-2004,salary.csv,Employee.Status,14148,4,object
../input/FOIA Updated CPD Data-2002-2007.xls-2005,salary.csv,Last.Name,14097,7323,object
../input/FOIA Updated CPD Data-2002-2007.xls-2005,salary.csv,First.Name,14097,2357,object
../input/FOIA Updated CPD Data-2002-2007.xls-2005,salary.csv,Middle.Initial,11382,27,object
../input/FOIA Updated CPD Data-2002-2007.xls-2005,salary.csv,Gender,14097,2,object
../input/FOIA Updated CPD Data-2002-2007.xls-2005,salary.csv,Age.at.Hire,13833,43,float64
../input/FOIA Updated CPD Data-2002-2007.xls-2005,salary.csv,Title,14097,39,object
../input/FOIA Updated CPD Data-2002-2007.xls-2005,salary.csv,Start.Date,13833,456,datetime64[ns]
../input/FOIA Updated CPD Data-2002-2007.xls-2005,salary.csv,SPP.Date,10678,395,datetime64[ns]
../input/FOIA Updated CPD Data-2002-2007.xls-2005,salary.csv,Org.Hire.Date,14090,958,datetime64[ns]
../input/FOIA Updated CPD Data-2002-2007.xls-2005,salary.csv,Salary,14097,93,int64
../input/FOIA Updated CPD Data-2002-2007.xls-2005,salary.csv,Pay.Grade,14097,20,object
../input/FOIA Updated CPD Data-2002-2007.xls-2005,salary.csv,Employee.Status,14097,4,object
../input/FOIA Updated CPD Data-2002-2007.xls-2006,salary.csv,Last.Name,14137,7398,object
../input/FOIA Updated CPD Data-2002-2007.xls-2006,salary.csv,First.Name,14137,2444,object
../input/FOIA Updated CPD Data-2002-2007.xls-2006,salary.csv,Middle.Initial,11414,27,object
../input/FOIA Updated CPD Data-2002-2007.xls-2006,salary.csv,Gender,14137,2,object
../input/FOIA Updated CPD Data-2002-2007.xls-2006,salary.csv,Age.at.Hire,13945,42,float64
../input/FOIA Updated CPD Data-2002-2007.xls-2006,salary.csv,Title,14137,36,object
../input/FOIA Updated CPD Data-2002-2007.xls-2006,salary.csv,Start.Date,13945,434,datetime64[ns]
../input/FOIA Updated CPD Data-2002-2007.xls-2006,salary.csv,SPP.Date,11046,370,datetime64[ns]
../input/FOIA Updated CPD Data-2002-2007.xls-2006,salary.csv,Org.Hire.Date,14134,893,datetime64[ns]
../input/FOIA Updated CPD Data-2002-2007.xls-2006,salary.csv,Salary,14137,60,int64
../input/FOIA Updated CPD Data-2002-2007.xls-2006,salary.csv,Pay.Grade,14137,19,object
../input/FOIA Updated CPD Data-2002-2007.xls-2006,salary.csv,Employee.Status,14137,4,object
../input/FOIA Updated CPD Data-2002-2007.xls-2007,salary.csv,Last.Name,14111,7366,object
../input/FOIA Updated CPD Data-2002-2007.xls-2007,salary.csv,First.Name,14111,2464,object
../input/FOIA Updated CPD Data-2002-2007.xls-2007,salary.csv,Middle.Initial,11384,27,object
../input/FOIA Updated CPD Data-2002-2007.xls-2007,salary.csv,Gender,14111,2,object
../input/FOIA Updated CPD Data-2002-2007.xls-2007,salary.csv,Age.at.Hire,13937,42,float64
../input/FOIA Updated CPD Data-2002-2007.xls-2007,salary.csv,Title,14111,36,object
../input/FOIA Updated CPD Data-2002-2007.xls-2007,salary.csv,Start.Date,13937,419,datetime64[ns]
../input/FOIA Updated CPD Data-2002-2007.xls-2007,salary.csv,SPP.Date,10988,361,datetime64[ns]
../input/FOIA Updated CPD Data-2002-2007.xls-2007,salary.csv,Org.Hire.Date,14111,843,datetime64[ns]
../input/FOIA Updated CPD Data-2002-2007.xls-2007,salary.csv,Salary,14111,59,int64
../input/FOIA Updated CPD Data-2002-2007.xls-2007,salary.csv,Pay.Grade,14111,18,object
