CRID,Gender,Age,Race
1000351,M,44.134246575342466,WHITE
1000352,F,46.85205479452055,BLACK
1000354,F,49.07671232876712,WHITE
1000356,F,54.16986301369863,BLACK
1000357,F,56.06027397260274,BLACK
1000358,F,42.397260273972606,BLACK
1000359,M,33.917808219178085,BLACK HISPANIC
1000361,M,43.25479452054795,BLACK
1000362,M,55.536986301369865,BLACK
1000363,M,39.23561643835617,BLACK
1000364,M,60.443835616438356,WHITE
1000365,M,46.602739726027394,BLACK
1000366,F,59.47671232876713,BLACK
1000367,F,69.74520547945205,BLACK
1000369,F,39.90684931506849,BLACK
1000370,F,54.12876712328767,BLACK
1000370,F,31.224657534246575,BLACK
1000371,M,50.6986301369863,BLACK
1000376,M,49.860273972602734,BLACK
1000377,M,29.471232876712328,WHITE
1000378,F,52.443835616438356,WHITE
1000379,F,45.76438356164383,BLACK
1000380,F,45.03835616438356,BLACK
1000381,F,54.12876712328767,BLACK
1000382,F,41.85753424657534,BLACK
1000384,M,36.986301369863014,BLACK
1000385,F,38.134246575342466,WHITE HISPANIC
1000388,M,52.61369863013699,BLACK
1000389,M,49.03835616438356,BLACK
1000392,M,46.99726027397261,BLACK
1000393,F,37.153424657534245,WHITE HISPANIC
1000394,F,43.89041095890411,BLACK
1000395,F,49.24383561643835,UNKNOWN
1000397,F,38.131506849315066,BLACK
1000398,M,31.01917808219178,BLACK
1000399,F,44.92876712328767,BLACK
1000401,F,37.02739726027397,BLACK
1000402,F,41.85753424657534,BLACK
1000404,M,43.80821917808219,WHITE HISPANIC
1000405,M,41.4958904109589,BLACK
1000406,F,68.12602739726027,BLACK
1000407,M,43.10958904109589,BLACK
1000409,F,43.438356164383556,BLACK
1000412,F,49.45753424657534,BLACK
1000414,M,62.652054794520545,BLACK
1000417,M,35.0986301369863,BLACK
1000420,F,45.25753424657534,WHITE
1000422,M,66.92328767123287,WHITE
1000424,M,36.29041095890411,BLACK
1000426,M,41.057534246575344,BLACK
1000427,M,46.150684931506845,BLACK
1000428,F,38.180821917808224,BLACK
1000431,M,59.03287671232877,BLACK
1000432,M,68.21369863013699,WHITE
1000434,F,69.0109589041096,HISPANIC
1000435,M,60.47945205479452,WHITE
1000435,M,57.25205479452055,BLACK
1000436,F,53.98904109589041,BLACK
1000436,F,51.85753424657534,WHITE
1000437,M,54.75616438356165,BLACK
1000440,F,51.364383561643834,BLACK
1000441,F,44.43561643835616,BLACK
1000442,M,56.21917808219178,WHITE
1000446,M,64.4931506849315,BLACK
1000447,M,31.79178082191781,BLACK
1000448,M,63.97808219178082,BLACK
1000449,M,44.76986301369863,BLACK
1000450,M,32.11780821917808,BLACK
1000451,F,77.65205479452055,BLACK
1000452,F,29.364383561643834,BLACK
1000454,M,33.58904109589041,ASIAN/PACIFIC ISLANDER
1000458,M,52.76164383561644,BLACK
1000461,M,52.947945205479456,WHITE
1000462,M,32.3972602739726,WHITE
1000464,F,58.83561643835616,BLACK
1000467,F,49.48767123287671,BLACK
1000468,F,55.51232876712329,BLACK
1000469,M,43.23287671232877,HISPANIC
1000474,F,35.85753424657534,BLACK
1000475,M,38.85753424657534,BLACK
1000476,M,48.6,BLACK
1000477,F,58.893150684931506,BLACK
1000479,M,36.06575342465753,BLACK
1000480,F,47.052054794520544,BLACK
1000482,F,27.78630136986301,BLACK
1000483,F,58.06301369863014,BLACK
1000484,M,44.276712328767125,BLACK
1000485,F,31.7972602739726,WHITE HISPANIC
1000486,F,66.78356164383563,BLACK
1000487,F,48.20821917808219,BLACK
1000489,F,55.057534246575344,WHITE HISPANIC
1000490,F,48.539726027397265,WHITE
1000491,M,46.35068493150685,WHITE HISPANIC
1000493,M,28.19178082191781,BLACK
1000495,F,32.13972602739726,BLACK
1000496,M,46.23013698630137,BLACK
1000498,F,34.6,BLACK
1000499,M,41.32876712328767,BLACK
1000500,M,36.846575342465755,UNKNOWN
1000501,M,54.42465753424657,BLACK
1000502,M,45.92876712328767,BLACK
1000503,F,45.72876712328767,WHITE HISPANIC
1000504,M,50.673972602739724,BLACK
1000506,M,33.37534246575343,BLACK
1000507,M,62.58356164383562,BLACK
1000508,F,71.1972602739726,BLACK
1000509,M,46.24383561643835,BLACK
1000510,M,29.66027397260274,BLACK
1000511,M,35.61643835616439,WHITE
1000512,M,37.221917808219175,WHITE HISPANIC
1000513,M,58.69041095890411,BLACK
1000514,M,40.76712328767123,WHITE HISPANIC
1000515,M,33.49315068493151,BLACK
1000516,F,54.3041095890411,WHITE
