CATEGORY,PERS_STAR_NO,PERS_LAST_NME,PERS_FIRST_NME,DESCR
18B,11255,HAMPTON,SHARLYN,POLICE OFFICER
18B,1571,JOHNSON,DARRELL,SERGEANT OF POLICE
18B,1377,WILLINGHAM,RUSSELL,SERGEANT OF POLICE
18B,1571,JOHNSON,DARRELL,UNKNOWN
20A,3927,SANDOVAL,PAUL,POLICE AIDE
20A,19651,BERAN,TIMOTHY,PO/EXP DET CAN HAND
20A,10275,MUHAMMAD,EMANUEL,POLICE OFFICER
20A,5226,PANICO,MICHAEL,POLICE OFFICER
20A,5708,OLSEN,DONALD,POLICE OFFICER
20A,6463,RULE,MICHAEL,POLICE OFFICER
20A,8600,GREGOIRE,JOHN,POLICE OFFICER
20A,18966,MIUCIN,ZORAN,POLICE OFFICER
20A,18551,ORTIZ-CLAUDIO,SUSIE,POLICE OFFICER
20A,10546,PEREZ,JOSEPH,POLICE OFFICER
20A,3040,SMITH,ANGELINA,POLICE OFFICER
20A,19825,HUTCHINSON,CLAYTON,POLICE OFFICER
20A,19641,SAMPIM,SAHARAT,POLICE OFFICER
20A,18508,MC CRAY,DAVID,POLICE OFFICER
20A,19731,PACINO,ANTHONY,POLICE OFFICER
20A,19275,PITTMAN,RONALD,POLICE OFFICER
20A,14180,ELLITCH,RAYMOND,POLICE OFFICER
20A,18807,MATLOB,KENNETH,POLICE OFFICER
20A,18518,SMITH,MARTIN,POLICE OFFICER
20A,18904,ZARBOCK,NICK,POLICE OFFICER
20A,10128,JERRY,DERRICK,POLICE OFFICER
20A,16720,HOZZIAN,JOANNE,POLICE OFFICER
20A,12639,HARVEY,GARRICK,POLICE OFFICER
20A,11254,TERESI,MARTIN,POLICE OFFICER
20A,8843,MENDOZA,MARIO,POLICE OFFICER
20A,14590,BOLIN,RICHARD,POLICE OFFICER
20A,17993,CORBETT,JOSEPH,POLICE OFFICER
20A,14138,MAYHEW,MICHAEL,POLICE OFFICER
20A,6340,ROMERO,RUBEN,POLICE OFFICER
20A,5263,SANTIAGO,JUAN,POLICE OFFICER
20A,7499,CASTILLO,DIEGO,POLICE OFFICER
20A,15744,MENDOZA,MARK,POLICE OFFICER
20A,9867,KRAMER,DANIEL,POLICE OFFICER
20A,13522,MEDENICA,BOGDAN,POLICE OFFICER
20A,18855,BARNES,GREGORY,POLICE OFFICER
20A,7986,MARTORANO,JOSEPH,POLICE OFFICER
20A,11396,FUENTES,HECTOR,POLICE OFFICER
