Complaint_Number,Complainant_Gender,Complainant_Age,Complainant_Race_Desc
1053942,F,71.7013698630137,BLACK
1053943,M,24.358904109589,BLACK
1053944,F,35.2986301369863,BLACK
1053945,M,,WHITE HISPANIC
1053947,M,43.4328767123288,BLACK
1053948,F,38.7506849315068,WHITE HISPANIC
1053950,F,59.5342465753425,WHITE
1053951,M,30.4438356164384,BLACK
1053953,F,47.5698630136986,WHITE
1053954,F,48.0164383561644,BLACK
1053955,M,34.8876712328767,WHITE HISPANIC
1053956,M,43.1972602739726,BLACK
1053957,F,36.0821917808219,BLACK
1053959,M,39.1095890410959,BLACK
1053960,F,23.9095890410959,BLACK
1053964,F,39.8493150684932,BLACK
1053967,M,39.9315068493151,BLACK
1053968,M,,WHITE HISPANIC
1053968,M,21.3041095890411,WHITE HISPANIC
1053969,M,45.1945205479452,BLACK
1053971,F,38.3780821917808,WHITE
1053973,F,37.8164383561644,BLACK
1053975,F,51.0767123287671,BLACK
1053976,F,25.9369863013699,BLACK
1053978,F,51.5753424657534,AMER IND/ALASKAN NATIVE
1053980,F,53.6575342465754,WHITE
1053981,M,45.1890410958904,BLACK
1053982,M,48.558904109589,BLACK
1053984,M,45.7534246575342,BLACK
1053985,M,51.3068493150685,WHITE
1053986,F,45.3945205479452,BLACK
1053989,F,52.5232876712329,WHITE
1053990,M,31.813698630137,BLACK
1053991,F,28.6958904109589,BLACK
1053992,M,28.9178082191781,BLACK
1053993,F,27.0246575342466,BLACK
1053994,M,31.9013698630137,BLACK
1053996,M,48.7561643835616,WHITE HISPANIC
1053997,M,53.1506849315069,WHITE
1054001,M,34.9917808219178,BLACK
1054006,F,52.4082191780822,WHITE
1054007,M,26.5671232876712,BLACK
1054008,M,22.2493150684932,BLACK
1054009,M,32.3561643835616,BLACK
1054010,M,52.3178082191781,WHITE
1054011,F,,BLACK
1054013,M,46.7698630136986,BLACK
1054015,F,23.1369863013699,WHITE HISPANIC
1054016,M,,WHITE
1054017,M,,BLACK
1054023,F,42.0849315068493,BLACK
1054024,M,69.3945205479452,WHITE HISPANIC
1054025,M,,BLACK
1054026,F,,ASIAN/PACIFIC ISLANDER
1054028,M,,BLACK
1054030,M,35.4876712328767,BLACK
1054033,M,29.0986301369863,WHITE HISPANIC
1054035,F,61.1835616438356,BLACK
1054036,F,41.5616438356164,BLACK
1054037,M,32.7123287671233,UNKNOWN
1054038,F,34.8684931506849,BLACK
1054039,M,53.1369863013699,BLACK
1054040,F,32.7232876712329,UNKNOWN
1054041,F,50.3643835616438,BLACK
1054043,M,49.8904109589041,WHITE HISPANIC
1054044,F,42.3643835616438,BLACK
1054045,M,29.4383561643836,BLACK
1054047,F,52.3945205479452,WHITE HISPANIC
1054048,M,33.8,WHITE HISPANIC
1054050,M,48.558904109589,BLACK
1054051,M,28.8876712328767,BLACK
1054052,M,35.8630136986301,WHITE HISPANIC
1054053,M,66.3232876712329,BLACK
1054057,M,60.6876712328767,WHITE HISPANIC
1054062,F,,BLACK
1054063,F,33.2356164383562,BLACK
1054064,F,,BLACK
1054064,M,,BLACK
1054067,M,47.8027397260274,BLACK
1054070,M,,UNKNOWN
1054071,M,57.3506849315069,UNKNOWN
1054072,F,59.9506849315068,BLACK
1054073,M,44.0931506849315,BLACK
1054075,F,936.032876712329,WHITE
1054077,M,30.1835616438356,BLACK
