CRID,Witness_Gender,Witness_Race
1044726,F,BLACK
1044727,M,WHITE
1044728,M,BLACK
1044729,M,BLACK
1044731,F,BLACK
1044732,M,BLACK
1044733,M,BLACK
1044734,M,UNKNOWN
1044736,F,WHITE HISPANIC
1044737,M,BLACK
1044741,F,BLACK
1044744,F,WHITE HISPANIC
1044744,M,WHITE HISPANIC
1044746,F,WHITE
1044747,F,BLACK
1044751,M,BLACK
1044752,F,WHITE
1044756,F,BLACK
1044757,M,WHITE
1044758,M,WHITE
1044760,F,BLACK
1044761,F,BLACK
1044764,F,BLACK
1044766,F,BLACK
1044767,F,WHITE HISPANIC
1044768,M,ASIAN/PACIFIC ISLANDER
1044769,F,WHITE
1044771,F,BLACK
1044772,M,WHITE
1044773,F,BLACK
1044774,F,BLACK
1044775,F,BLACK
1044776,M,BLACK
1044777,M,WHITE HISPANIC
1044778,F,BLACK
1044780,M,WHITE
1044781,F,UNKNOWN
1044782,F,WHITE
1044784,F,BLACK
1044787,F,WHITE
1044788,F,WHITE
1044790,F,BLACK
1044791,M,WHITE
1044793,M,WHITE
1044795,M,BLACK
1044801,M,BLACK
1044802,F,BLACK
1044803,F,WHITE HISPANIC
1044806,F,WHITE HISPANIC
1044808,M,WHITE HISPANIC
1044810,M,BLACK
1044811,F,BLACK
1044812,F,BLACK
1044813,M,BLACK
1044814,M,WHITE
1044815,M,WHITE
1044824,F,WHITE
1044827,M,BLACK
1044830,M,BLACK
1044831,F,BLACK
1044835,M,BLACK
1044837,M,BLACK
1044838,M,BLACK
1044839,M,BLACK
1044843,M,WHITE
1044846,M,UNKNOWN
1044847,F,BLACK
1044851,F,WHITE HISPANIC
1044852,M,WHITE HISPANIC
1044853,F,SPANISH (DO NOT USE)
1044855,M,WHITE
1044859,F,WHITE HISPANIC
1044860,F,BLACK
1044863,M,BLACK
1044864,F,BLACK
1044865,M,BLACK
1044866,F,BLACK
1044867,F,WHITE
1044869,M,BLACK
1044872,M,BLACK
1044874,M,BLACK
1044875,M,BLACK
1044879,M,BLACK
1044882,M,BLACK
1044883,F,BLACK
1044884,F,BLACK
1044885,M,BLACK
1044886,M,BLACK
1044890,F,BLACK
1044891,M,BLACK
1044891,M,BLACK
1044892,M,WHITE
1044894,M,WHITE
1044895,F,WHITE HISPANIC
1044896,M,BLACK
1044897,F,BLACK
1044898,M,BLACK
1044902,M,BLACK
1044904,F,WHITE
1044905,M,WHITE HISPANIC
1044906,M,WHITE
1044914,M,BLACK
1044916,M,BLACK
1044917,F,BLACK
1044919,F,UNKNOWN
1044921,M,BLACK
1044922,F,BLACK
1044923,M,BLACK
1044925,M,BLACK
1044926,F,BLACK
1044928,F,BLACK
1044936,M,BLACK
1044937,M,BLACK
